duty_cycle,vesc_id,tick_delta,time_delta
0.0,28,0,0.18019509315490723
0.005,28,0,0.1795647144317627
0.01,28,0,0.17965435981750488
0.015,28,1,0.17978215217590332
0.02,28,2,0.17965984344482422
0.025,28,2,0.1799168586730957
0.030000000000000002,28,4,0.19992876052856445
0.035,28,5,0.17959976196289062
0.04,28,5,0.17955684661865234
0.045,28,6,0.1797029972076416
0.049999999999999996,28,7,0.17981815338134766
0.05499999999999999,28,8,0.1796247959136963
0.05999999999999999,28,9,0.17908668518066406
0.06499999999999999,28,10,0.17966890335083008
0.06999999999999999,28,11,0.17967462539672852
0.075,28,12,0.17973828315734863
0.08,28,13,0.17972517013549805
0.085,28,14,0.1796720027923584
0.09000000000000001,28,15,0.17958402633666992
0.09500000000000001,28,15,0.1796860694885254
0.10000000000000002,28,16,0.17924904823303223
0.10500000000000002,28,17,0.1797642707824707
0.11000000000000003,28,18,0.1798725128173828
0.11500000000000003,28,19,0.17965054512023926
0.12000000000000004,28,20,0.17956161499023438
0.12500000000000003,28,21,0.1798563003540039
0.13000000000000003,28,21,0.1798863410949707
0.13500000000000004,28,25,0.1990504264831543
0.14000000000000004,28,23,0.17965149879455566
0.14500000000000005,28,24,0.17978835105895996
0.15000000000000005,28,25,0.17956089973449707
0.15500000000000005,28,26,0.17944073677062988
0.16000000000000006,28,28,0.17989611625671387
0.16500000000000006,28,28,0.17970848083496094
0.17000000000000007,28,29,0.17958927154541016
0.17500000000000007,28,30,0.17989778518676758
0.18000000000000008,28,30,0.1795668601989746
0.18500000000000008,28,31,0.17955541610717773
0.19000000000000009,28,32,0.17963814735412598
0.1950000000000001,28,34,0.17996716499328613
0.2,28,35,0.17960238456726074
0.195,28,33,0.17966651916503906
0.19,28,33,0.17978143692016602
0.185,28,32,0.1796863079071045
0.18,28,32,0.1803140640258789
0.175,28,30,0.17957282066345215
0.16999999999999998,28,30,0.17967462539672852
0.16499999999999998,28,29,0.17975068092346191
0.15999999999999998,28,27,0.17928242683410645
0.15499999999999997,28,30,0.19994187355041504
0.14999999999999997,28,25,0.17965269088745117
0.14499999999999996,28,25,0.17966556549072266
0.13999999999999996,28,23,0.17990970611572266
0.13499999999999995,28,23,0.179826021194458
0.12999999999999995,28,22,0.17968010902404785
0.12499999999999994,28,21,0.1795036792755127
0.11999999999999994,28,21,0.17973017692565918
0.11499999999999994,28,19,0.17987275123596191
0.10999999999999993,28,19,0.1792612075805664
0.10499999999999993,28,18,0.18008708953857422
0.09999999999999992,28,17,0.17963743209838867
0.09499999999999992,28,16,0.17971587181091309
0.08999999999999991,28,15,0.17996907234191895
0.08499999999999991,28,14,0.1795971393585205
0.0799999999999999,28,13,0.17969465255737305
0.0749999999999999,28,12,0.1797192096710205
0.0699999999999999,28,12,0.17984819412231445
0.06499999999999989,28,10,0.18048739433288574
0.059999999999999894,28,9,0.1796588897705078
0.054999999999999896,28,9,0.1990804672241211
0.0499999999999999,28,8,0.1799449920654297
0.0449999999999999,28,6,0.17970538139343262
0.039999999999999904,28,6,0.1794881820678711
0.034999999999999906,28,5,0.18063592910766602
0.029999999999999905,28,4,0.17957019805908203
0.024999999999999904,28,3,0.17986559867858887
0.019999999999999903,28,2,0.18033862113952637
0.014999999999999902,28,1,0.17958307266235352
0.009999999999999901,28,0,0.17914748191833496
0.004999999999999901,28,0,0.17962980270385742
-9.8879238130678e-17,28,0,0.179304838180542
-0.005000000000000099,28,0,0.17973732948303223
-0.010000000000000099,28,0,0.1797494888305664
-0.0150000000000001,28,-1,0.17966699600219727
-0.0200000000000001,28,-2,0.17996883392333984
-0.025000000000000102,28,-3,0.17947816848754883
-0.030000000000000103,28,-4,0.17931747436523438
-0.0350000000000001,28,-5,0.17960309982299805
-0.0400000000000001,28,-6,0.1795046329498291
-0.045000000000000095,28,-7,0.1996617317199707
-0.05000000000000009,28,-8,0.17976021766662598
-0.05500000000000009,28,-8,0.17966771125793457
-0.06000000000000009,28,-9,0.1793231964111328
-0.06500000000000009,28,-10,0.17967987060546875
-0.07000000000000009,28,-11,0.178863525390625
-0.0750000000000001,28,-11,0.17991042137145996
-0.0800000000000001,28,-12,0.17961382865905762
-0.0850000000000001,28,-13,0.17953062057495117
-0.09000000000000011,28,-15,0.1799929141998291
-0.09500000000000011,28,-16,0.17969942092895508
-0.10000000000000012,28,-16,0.1804819107055664
-0.10500000000000012,28,-17,0.17990899085998535
-0.11000000000000013,28,-18,0.1797652244567871
-0.11500000000000013,28,-19,0.17961359024047852
-0.12000000000000013,28,-20,0.17975544929504395
-0.12500000000000014,28,-21,0.17982244491577148
-0.13000000000000014,28,-22,0.17940521240234375
-0.13500000000000015,28,-23,0.1797492504119873
-0.14000000000000015,28,-24,0.1796553134918213
-0.14500000000000016,28,-27,0.19908523559570312
-0.15000000000000016,28,-25,0.17995238304138184
-0.15500000000000017,28,-27,0.17975163459777832
-0.16000000000000017,28,-27,0.17972946166992188
-0.16500000000000017,28,-28,0.1796102523803711
-0.17000000000000018,28,-29,0.17965936660766602
-0.17500000000000018,28,-30,0.17990374565124512
-0.1800000000000002,28,-31,0.1792614459991455
-0.1850000000000002,28,-32,0.17982935905456543
-0.1900000000000002,28,-33,0.18025922775268555
-0.1950000000000002,28,-34,0.17971539497375488
-0.2,28,-34,0.1795501708984375
-0.195,28,-34,0.1801748275756836
-0.19,28,-33,0.1795647144317627
-0.185,28,-32,0.1799635887145996
-0.18,28,-31,0.17966699600219727
-0.175,28,-31,0.17970752716064453
-0.16999999999999998,28,-29,0.17916274070739746
-0.16499999999999998,28,-29,0.18011903762817383
-0.15999999999999998,28,-31,0.1989591121673584
-0.15499999999999997,28,-26,0.18000102043151855
-0.14999999999999997,28,-26,0.17985820770263672
-0.14499999999999996,28,-24,0.17965126037597656
-0.13999999999999996,28,-24,0.1800861358642578
-0.13499999999999995,28,-23,0.1795179843902588
-0.12999999999999995,28,-22,0.17958903312683105
-0.12499999999999994,28,-21,0.17979860305786133
-0.11999999999999994,28,-20,0.17942285537719727
-0.11499999999999994,28,-20,0.17971396446228027
-0.10999999999999993,28,-19,0.17988944053649902
-0.10499999999999993,28,-18,0.17963576316833496
-0.09999999999999992,28,-17,0.18015313148498535
-0.09499999999999992,28,-15,0.1797175407409668
-0.08999999999999991,28,-15,0.17975306510925293
-0.08499999999999991,28,-14,0.17967939376831055
-0.0799999999999999,28,-13,0.17994356155395508
-0.0749999999999999,28,-12,0.17968320846557617
-0.0699999999999999,28,-11,0.17943429946899414
-0.06499999999999989,28,-12,0.19963836669921875
-0.059999999999999894,28,-9,0.1795189380645752
-0.054999999999999896,28,-8,0.17992949485778809
-0.0499999999999999,28,-7,0.17967534065246582
-0.0449999999999999,28,-7,0.17962098121643066
-0.039999999999999904,28,-6,0.1797652244567871
-0.034999999999999906,28,-4,0.1795501708984375
-0.029999999999999905,28,-4,0.17949271202087402
-0.024999999999999904,28,-3,0.17974185943603516
-0.019999999999999903,28,-2,0.17969489097595215
-0.014999999999999902,28,-1,0.1794579029083252
-0.009999999999999901,28,0,0.1797335147857666
-0.004999999999999901,28,0,0.1792905330657959
0.0,46,0,0.17983388900756836
0.005,46,0,0.17960453033447266
0.01,46,1,0.1796882152557373
0.015,46,1,0.17967462539672852
0.02,46,2,0.17958402633666992
0.025,46,4,0.19903802871704102
0.030000000000000002,46,4,0.18000125885009766
0.035,46,5,0.17996454238891602
0.04,46,6,0.17951083183288574
0.045,46,7,0.1793973445892334
0.049999999999999996,46,7,0.179764986038208
0.05499999999999999,46,8,0.1791980266571045
0.05999999999999999,46,9,0.1795036792755127
0.06499999999999999,46,10,0.1795656681060791
0.06999999999999999,46,11,0.17947101593017578
0.075,46,12,0.17993760108947754
0.08,46,12,0.17960739135742188
0.085,46,13,0.17935538291931152
0.09000000000000001,46,14,0.17945194244384766
0.09500000000000001,46,15,0.17979979515075684
0.10000000000000002,46,16,0.17990446090698242
0.10500000000000002,46,17,0.17951083183288574
0.11000000000000003,46,18,0.17974328994750977
0.11500000000000003,46,19,0.17962169647216797
0.12000000000000004,46,22,0.1994643211364746
0.12500000000000003,46,20,0.17934679985046387
0.13000000000000003,46,21,0.17957758903503418
0.13500000000000004,46,22,0.17975258827209473
0.14000000000000004,46,23,0.1795639991760254
0.14500000000000005,46,24,0.17908167839050293
0.15000000000000005,46,25,0.18005156517028809
0.15500000000000005,46,26,0.17945146560668945
0.16000000000000006,46,26,0.17943334579467773
0.16500000000000006,46,28,0.17965936660766602
0.17000000000000007,46,29,0.17946338653564453
0.17500000000000007,46,29,0.17964386940002441
0.18000000000000008,46,30,0.17948246002197266
0.18500000000000008,46,32,0.1796882152557373
0.19000000000000009,46,32,0.17962932586669922
0.1950000000000001,46,33,0.17940497398376465
0.2,46,34,0.17954277992248535
0.195,46,33,0.17960309982299805
0.19,46,33,0.1796116828918457
0.185,46,35,0.19892191886901855
0.18,46,30,0.1790480613708496
0.175,46,30,0.17960357666015625
0.16999999999999998,46,28,0.17946648597717285
0.16499999999999998,46,28,0.1800088882446289
0.15999999999999998,46,27,0.17947149276733398
0.15499999999999997,46,26,0.17969036102294922
0.14999999999999997,46,25,0.17972493171691895
0.14499999999999996,46,24,0.17957854270935059
0.13999999999999996,46,23,0.17950940132141113
0.13499999999999995,46,23,0.17952442169189453
0.12999999999999995,46,22,0.1796872615814209
0.12499999999999994,46,21,0.17853188514709473
0.11999999999999994,46,19,0.1796739101409912
0.11499999999999994,46,19,0.17979955673217773
0.10999999999999993,46,18,0.17950201034545898
0.10499999999999993,46,17,0.1787412166595459
0.09999999999999992,46,17,0.18010830879211426
0.09499999999999992,46,15,0.17965364456176758
0.08999999999999991,46,16,0.19949579238891602
0.08499999999999991,46,13,0.17970871925354004
0.0799999999999999,46,13,0.17951726913452148
0.0749999999999999,46,12,0.17960786819458008
0.0699999999999999,46,12,0.1800675392150879
0.06499999999999989,46,10,0.17930364608764648
0.059999999999999894,46,10,0.1787858009338379
0.054999999999999896,46,8,0.17956042289733887
0.0499999999999999,46,8,0.17981886863708496
0.0449999999999999,46,7,0.17975759506225586
0.039999999999999904,46,6,0.17956781387329102
0.034999999999999906,46,5,0.1796863079071045
0.029999999999999905,46,4,0.17973756790161133
0.024999999999999904,46,3,0.17958331108093262
0.019999999999999903,46,2,0.17977094650268555
0.014999999999999902,46,2,0.18036150932312012
0.009999999999999901,46,0,0.17964434623718262
0.004999999999999901,46,0,0.19849872589111328
-9.8879238130678e-17,46,0,0.17979788780212402
-0.005000000000000099,46,0,0.17927956581115723
-0.010000000000000099,46,-1,0.1800549030303955
-0.0150000000000001,46,-1,0.1797313690185547
-0.0200000000000001,46,-2,0.1794426441192627
-0.025000000000000102,46,-3,0.17928194999694824
-0.030000000000000103,46,-4,0.17911505699157715
-0.0350000000000001,46,-4,0.1793041229248047
-0.0400000000000001,46,-5,0.17952513694763184
-0.045000000000000095,46,-6,0.17952179908752441
-0.05000000000000009,46,-7,0.1802816390991211
-0.05500000000000009,46,-8,0.17992067337036133
-0.06000000000000009,46,-9,0.1794877052307129
-0.06500000000000009,46,-10,0.17953109741210938
-0.07000000000000009,46,-11,0.17966890335083008
-0.0750000000000001,46,-12,0.17940568923950195
-0.0800000000000001,46,-13,0.17970490455627441
-0.0850000000000001,46,-13,0.17911529541015625
-0.09000000000000011,46,-16,0.19951272010803223
-0.09500000000000011,46,-15,0.17939329147338867
-0.10000000000000012,46,-16,0.17969608306884766
-0.10500000000000012,46,-18,0.17950749397277832
-0.11000000000000013,46,-18,0.17963576316833496
-0.11500000000000013,46,-19,0.17944669723510742
-0.12000000000000013,46,-20,0.17953109741210938
-0.12500000000000014,46,-21,0.17973661422729492
-0.13000000000000014,46,-21,0.17958927154541016
-0.13500000000000015,46,-22,0.17955398559570312
-0.14000000000000015,46,-23,0.17975115776062012
-0.14500000000000016,46,-24,0.17950916290283203
-0.15000000000000016,46,-25,0.17957186698913574
-0.15500000000000017,46,-26,0.17985820770263672
-0.16000000000000017,46,-26,0.17870306968688965
-0.16500000000000017,46,-28,0.17920780181884766
-0.17000000000000018,46,-29,0.1796095371246338
-0.17500000000000018,46,-29,0.17965221405029297
-0.1800000000000002,46,-31,0.179548978805542
-0.1850000000000002,46,-35,0.19904112815856934
-0.1900000000000002,46,-32,0.17957687377929688
-0.1950000000000002,46,-33,0.17937874794006348
-0.2,46,-34,0.18001103401184082
-0.195,46,-33,0.17951083183288574
-0.19,46,-32,0.17958807945251465
-0.185,46,-31,0.1797959804534912
-0.18,46,-30,0.17953014373779297
-0.175,46,-29,0.17899179458618164
-0.16999999999999998,46,-28,0.17965006828308105
-0.16499999999999998,46,-28,0.1800236701965332
-0.15999999999999998,46,-27,0.17989683151245117
-0.15499999999999997,46,-26,0.17959380149841309
-0.14999999999999997,46,-25,0.17875337600708008
-0.14499999999999996,46,-25,0.17964768409729004
-0.13999999999999996,46,-24,0.1796586513519287
-0.13499999999999995,46,-22,0.17961978912353516
-0.12999999999999995,46,-24,0.1989455223083496
-0.12499999999999994,46,-21,0.17949318885803223
-0.11999999999999994,46,-20,0.1794753074645996
-0.11499999999999994,46,-19,0.17989325523376465
-0.10999999999999993,46,-18,0.17962288856506348
-0.10499999999999993,46,-17,0.17956233024597168
-0.09999999999999992,46,-17,0.17963743209838867
-0.09499999999999992,46,-16,0.17954325675964355
-0.08999999999999991,46,-15,0.1794586181640625
-0.08499999999999991,46,-14,0.1794734001159668
-0.0799999999999999,46,-13,0.18004941940307617
-0.0749999999999999,46,-13,0.17956805229187012
-0.0699999999999999,46,-11,0.1795520782470703
-0.06499999999999989,46,-11,0.1802198886871338
-0.059999999999999894,46,-9,0.17950439453125
-0.054999999999999896,46,-8,0.1798875331878662
-0.0499999999999999,46,-9,0.19898676872253418
-0.0449999999999999,46,-7,0.1797497272491455
-0.039999999999999904,46,-6,0.17966127395629883
-0.034999999999999906,46,-5,0.17949342727661133
-0.029999999999999905,46,-4,0.17948675155639648
-0.024999999999999904,46,-3,0.17950081825256348
-0.019999999999999903,46,-3,0.17977547645568848
-0.014999999999999902,46,-1,0.17918705940246582
-0.009999999999999901,46,0,0.17953062057495117
-0.004999999999999901,46,0,0.17936944961547852
